hierarchy,architecture,fold_desc,h_desc,t_desc,f_desc
3112.1.1.0,beta barrels,Uncharacterized protein Dsy0195,Uncharacterized protein Dsy0195,Uncharacterized protein Dsy0195,NO_F_NAME
3929.1.1.0,alpha bundles,THO1 C-terminal domain,THO1 C-terminal domain,THO1 C-terminal domain,NO_F_NAME
150.7.1.0,alpha bundles,Ferritin/Heme oxygenase/4-helical cytokines,PE,PE,NO_F_NAME
3777.1.1.0,alpha bundles,Prolyl 4-hydroxylase alpha subunit dimerization domain,Prolyl 4-hydroxylase alpha subunit dimerization domain,Prolyl 4-hydroxylase alpha subunit dimerization domain,NO_F_NAME
241.10.1.0,a+b two layers,Type III secretory system chaperone-like,GAS2 domain,GAS2 domain,NO_F_NAME
604.18.1.0,alpha bundles,Spectrin repeat-like,Triple-helical domain in regulatory ATPase variant A (RavA),Triple-helical domain in regulatory ATPase variant A (RavA),NO_F_NAME
3599.1.1.0,alpha superhelices,Mitochondrial malonyl-CoA decarboxylase helical domain,Mitochondrial malonyl-CoA decarboxylase helical domain,Mitochondrial malonyl-CoA decarboxylase helical domain,NO_F_NAME
7101.1.1.0,extended segments,Prp8-binding region of SLU7,Prp8-binding region of SLU7,Prp8-binding region of SLU7,NO_F_NAME
2004.11.1.0,a/b three-layered sandwiches,P-loop domains-like,PEP carboxykinase N-terminal domain,PEP carboxykinase N-terminal domain,NO_F_NAME
2004.1.2.0,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,PEP carboxykinase catalytic C-terminal domain,NO_F_NAME
1056.1.1.0,a+b two layers,tRNA pseudouridine synthase TruD insertion domain,tRNA pseudouridine synthase TruD insertion domain,tRNA pseudouridine synthase TruD insertion domain,NO_F_NAME
241.5.1.0,a+b two layers,Type III secretory system chaperone-like,DNA-binding C-terminal domain of the transcription factor MotA,DNA-binding C-terminal domain of the transcription factor MotA,NO_F_NAME
3737.1.1.0,alpha duplicates or obligate multimers,Major allergen Bla g 1 tandem repeats,Major allergen Bla g 1 tandem repeats,Major allergen Bla g 1 tandem repeats,NO_F_NAME
7562.1.1.0,a/b three-layered sandwiches,"Thiamin pyrophosphokinase, catalytic domain","Thiamin pyrophosphokinase, catalytic domain","Thiamin pyrophosphokinase, catalytic domain",NO_F_NAME
3279.1.1.0,alpha arrays,Helical domain in 5'->3' exoribonucleases,Helical domain in 5'->3' exoribonucleases,Helical domain in 5'->3' exoribonucleases,NO_F_NAME
304.136.1.0,a+b two layers,Alpha-beta plaits,Oligo-peptide binding protein (OPPA) insertion domain,Oligo-peptide binding protein (OPPA) insertion domain,NO_F_NAME
7552.1.1.0,a/b three-layered sandwiches,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,Amidase signature (AS) enzymes,NO_F_NAME
3069.1.1.0,alpha arrays,BART,BART,BART,NO_F_NAME
102.4.1.0,alpha arrays,HhH/H2TH,YozE-like,YozE-like,NO_F_NAME
540.1.1.0,few secondary structure elements,Cytochrome c oxidase subunit h,Cytochrome c oxidase subunit h,Cytochrome c oxidase subunit h,NO_F_NAME
7526.1.1.0,a/b three-layered sandwiches,"Initiation factor IF2/eIF5b, domain 3","Initiation factor IF2/eIF5b, domain 3","Initiation factor IF2/eIF5b, domain 3",NO_F_NAME
9.5.1.0,beta barrels,Lipocalins/Streptavidin,Hypothetical protein TT1927B,Hypothetical protein TT1927B,NO_F_NAME
2007.1.9.0,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,"N5-CAIR mutase (phosphoribosylaminoimidazole carboxylase, PurE)",NO_F_NAME
10.41.1.0,beta sandwiches,jelly-roll,Protein Hikeshi jelly-roll domain,Protein Hikeshi jelly-roll domain,NO_F_NAME
3131.1.1.0,a+b two layers,FYR domain,FYR domain,FYR domain,NO_F_NAME
1116.1.1.0,a+b two layers,Polycystin-mucolipin domain,Polycystin-mucolipin domain,Polycystin-mucolipin domain,NO_F_NAME
10.37.1.0,beta sandwiches,jelly-roll,TerD,TerD,NO_F_NAME
601.29.1.0,alpha bundles,Four-helical up-and-down bundle,TM1646-like,TM1646-like,NO_F_NAME
601.37.1.0,alpha bundles,Four-helical up-and-down bundle,Photosystem II lipoprotein Psb27,Photosystem II lipoprotein Psb27,NO_F_NAME
837.1.1.0,a+b two layers,Ribosomal protein S16,Ribosomal protein S16,Ribosomal protein S16,NO_F_NAME
3203.1.1.0,a+b two layers,Putative oxidoreductase,Putative oxidoreductase,Putative oxidoreductase,NO_F_NAME
3333.1.1.0,a+b two layers,Barrel domain in dedicator of cytokinesis protein 9,Barrel domain in dedicator of cytokinesis protein 9,Barrel domain in dedicator of cytokinesis protein 9,NO_F_NAME
4096.1.1.0,a+b two layers,NAP-like,NAP-like,NAP-like,NO_F_NAME
192.23.1.0,alpha bundles,Long alpha-hairpin,DUF683,DUF683,NO_F_NAME
11.9.1.0,beta sandwiches,Immunoglobulin-like beta-sandwich,FAH,FAH,NO_F_NAME
3142.1.1.0,alpha arrays,a domain of protein A6KY75,a domain of protein A6KY75,a domain of protein A6KY75,NO_F_NAME
3556.1.1.0,a+b two layers,Uncharacterized Protein Rru_A0810,Uncharacterized Protein Rru_A0810,Uncharacterized Protein Rru_A0810,NO_F_NAME
228.1.1.0,a+b three layers,"Fe,Mn superoxide dismutase (SOD)-C","Fe,Mn superoxide dismutase (SOD)-C","Fe,Mn superoxide dismutase (SOD)-C",NO_F_NAME
6004.1.1.0,extended segments,FATC domain,FATC domain,FATC domain,NO_F_NAME
3050.1.1.0,alpha bundles,Ribosomal protein L19 (L19e) C-terminal domain,Ribosomal protein L19 (L19e) C-terminal domain,Ribosomal protein L19 (L19e) C-terminal domain,NO_F_NAME
4340.1.1.0,a+b complex topology,TFB5-related,TFB5-related,TFB5-related,NO_F_NAME
3277.1.1.0,alpha arrays,Thymine dioxygenase JBP1 DNA-binding domain-like,Thymine dioxygenase JBP1 DNA-binding domain,Thymine dioxygenase JBP1 DNA-binding domain,NO_F_NAME
2007.1.10.0,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,PrpR receptor domain-like,NO_F_NAME
143.2.1.0,alpha arrays,PABP domain-like,Ribosomal protein L20,Ribosomal protein L20,NO_F_NAME
4001.1.1.0,a+b duplicates or obligate multimers,a+b domain in cullin-like proteins,a+b domain in cullin-like proteins,a+b domain in cullin-like proteins,NO_F_NAME
632.5.1.0,alpha bundles,immunoglobulin/albumin-binding domain-like,Staphylocoagulase,Staphylocoagulase,NO_F_NAME
4240.1.1.0,alpha arrays,Rv1873-like,Rv1873-like,Rv1873-like,NO_F_NAME
7603.1.1.0,a/b three-layered sandwiches,Immunomodulating metalloprotease IMPa N-terminal domain,Immunomodulating metalloprotease IMPa N-terminal domain,Immunomodulating metalloprotease IMPa N-terminal domain,NO_F_NAME
4076.2.1.0,a+b two layers,L9 N-domain-like,MbtH-like,MbtH-like,NO_F_NAME
304.16.1.0,a+b two layers,Alpha-beta plaits,eEF-1beta-like,eEF-1beta-like,NO_F_NAME
109.10.1.0,alpha superhelices,Repetitive alpha hairpins,Translin,Translin,NO_F_NAME
3715.1.1.0,a+b two layers,Ribosomal protein L22e,Ribosomal protein L22e,Ribosomal protein L22e,NO_F_NAME
6147.1.1.0,alpha arrays,C-terminal domain of Dbr1,C-terminal domain of Dbr1,C-terminal domain of Dbr1,NO_F_NAME
331.15.1.0,a+b two layers,TBP-like,Anti-CRISPR protein AcrID1,Anti-CRISPR protein AcrID1,NO_F_NAME
304.27.1.0,a+b two layers,Alpha-beta plaits,Formiminotransferase domain of formiminotransferase-cyclodeaminase.,Formiminotransferase domain of formiminotransferase-cyclodeaminase.,NO_F_NAME
3896.1.2.0,alpha duplicates or obligate multimers,Intramembrane CDP-DAG synthetase-related,Intramembrane CDP-DAG synthetase-related,Intramembrane CDP-archaeol synthase,NO_F_NAME
152.1.2.0,alpha arrays,RPB6/omega subunit-like,RPB6/omega subunit-like,RNA polymerase omega subunit,NO_F_NAME
3959.1.1.0,alpha duplicates or obligate multimers,Protein Hikeshi dimerization domain,Protein Hikeshi dimerization domain,Protein Hikeshi dimerization domain,NO_F_NAME
872.7.1.0,a+b two layers,Dodecin subunit-like,mannan-binding lectin MVL,mannan-binding lectin MVL,NO_F_NAME
6113.1.1.0,alpha duplicates or obligate multimers,Dimerization element domain in modular polyketide synthases,Dimerization element domain in modular polyketide synthases,Dimerization element domain in modular polyketide synthases,NO_F_NAME
3566.1.1.0,beta sandwiches,hypothetical protein BA_2335,hypothetical protein BA_2335,hypothetical protein BA_2335,NO_F_NAME
3903.1.1.0,alpha duplicates or obligate multimers,Reticulocyte binding protein 5,Reticulocyte binding protein 5,Reticulocyte binding protein 5,NO_F_NAME
885.1.1.0,a+b complex topology,"Transcription factor NusA, N-terminal domain","Transcription factor NusA, N-terminal domain","Transcription factor NusA, N-terminal domain",NO_F_NAME
3871.1.1.0,alpha duplicates or obligate multimers,PHIST,PHIST,PHIST,NO_F_NAME
246.1.1.0,a+b four layers,Carbon-nitrogen hydrolase-like,Carbon-nitrogen hydrolase,Carbon-nitrogen hydrolase,NO_F_NAME
1174.1.1.0,alpha complex topology,Potassium channel TMEM175,Potassium channel TMEM175,Potassium channel TMEM175,NO_F_NAME
632.24.1.0,alpha bundles,immunoglobulin/albumin-binding domain-like,GBS CAMP factor C-terminal domain,GBS CAMP factor C-terminal domain,NO_F_NAME
642.1.1.0,a+b three layers,"Suppressor of Fused, N-terminal domain","Suppressor of Fused, N-terminal domain","Suppressor of Fused, N-terminal domain",NO_F_NAME
3785.1.1.0,a+b three layers,"Suppressor of Fused, C-terminal domain","Suppressor of Fused, C-terminal domain","Suppressor of Fused, C-terminal domain",NO_F_NAME
3680.1.1.0,a+b complex topology,Zinc finger FYVE domain-containing protein 9 C-terminal domain,Zinc finger FYVE domain-containing protein 9 C-terminal domain,Zinc finger FYVE domain-containing protein 9 C-terminal domain,NO_F_NAME
3660.1.1.0,alpha bundles,Protein-export membrane protein secG,Protein-export membrane protein secG,Protein-export membrane protein secG,NO_F_NAME
4305.1.1.0,a+b two layers,GTF2I-like repeat,GTF2I-like repeat,GTF2I-like repeat,NO_F_NAME
4199.1.1.0,alpha arrays,PG0816-like,PG0816-like,PG0816-like,NO_F_NAME
3846.1.1.0,alpha bundles,IcmR,IcmR,IcmR,NO_F_NAME
3635.1.1.0,alpha bundles,LepB GAP domain C-terminal subdomain,LepB GAP domain C-terminal subdomain,LepB GAP domain C-terminal subdomain,NO_F_NAME
3178.1.1.0,extended segments,Telomere length regulator taz1,Telomere length regulator taz1,Telomere length regulator taz1,NO_F_NAME
325.1.5.0,a+b complex topology,alpha/beta-Hammerhead/Barrel-sandwich hybrid,alpha/beta-Hammerhead/Barrel-sandwich hybrid,Ribosomal protein L10e,NO_F_NAME
2007.13.1.0,a/b three-layered sandwiches,Flavodoxin-like,Rossmann-like domains in magnesium chelatase catalytic subunit,Rossmann-like domains in magnesium chelatase catalytic subunit,NO_F_NAME
3432.1.1.0,alpha bundles,Minor nucleoprotein VP30 C-terminal domain,Minor nucleoprotein VP30 C-terminal domain,Minor nucleoprotein VP30 C-terminal domain,NO_F_NAME
101.1.7.0,alpha arrays,HTH,HTH,Methylated DNA-protein cysteine methyltransferase-C,NO_F_NAME
375.7.1.0,few secondary structure elements,Rubredoxin-like,Zn-binding domains of ADDBP,Zn-binding domains of ADDBP,NO_F_NAME
4161.1.1.0,beta complex topology,MOSC N-terminal domain-like,MOSC N-terminal domain-like,MOSC N-terminal domain-like,NO_F_NAME
109.45.1.0,alpha superhelices,Repetitive alpha hairpins,Anaphase-promoting complex subunit 1 second helical domain,Anaphase-promoting complex subunit 1 second helical domain,NO_F_NAME
3307.1.1.0,a+b two layers,Domain in small RNA methyltransferase HEN1,Domain in small RNA methyltransferase HEN1,Domain in small RNA methyltransferase HEN1,NO_F_NAME
3501.1.1.0,a+b two layers,protein PCC1,protein PCC1,protein PCC1,NO_F_NAME
4351.1.1.0,alpha arrays,ATP12-like,ATP12-like,ATP12-like,NO_F_NAME
223.5.1.0,a+b three layers,Profilin-like,YNR034W-A-like,YNR034W-A-like,NO_F_NAME
10.1.2.136,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
10.40.1.0,beta sandwiches,jelly-roll,PHR domain,PHR domain,NO_F_NAME
304.53.1.0,a+b two layers,Alpha-beta plaits,DOPA dioxygenase-like,DOPA dioxygenase-like,NO_F_NAME
712.1.1.0,beta sandwiches,"ENV polyprotein, receptor-binding domain","ENV polyprotein, receptor-binding domain","ENV polyprotein, receptor-binding domain",NO_F_NAME
3796.1.1.0,alpha arrays,Iron-regulated surface determinant protein H linker domain,Iron-regulated surface determinant protein H linker domain,Iron-regulated surface determinant protein H linker domain,NO_F_NAME
10.1.2.146,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
1061.1.1.0,a+b two layers,gp120 inner domain,gp120 inner domain,gp120 inner domain,NO_F_NAME
3285.1.1.0,alpha duplicates or obligate multimers,Alix V domain,Alix V domain,Alix V domain,NO_F_NAME
324.1.1.0,a+b two layers,OsmC-like,OsmC-like,OsmC-like,NO_F_NAME
3380.1.1.0,a+b duplicates or obligate multimers,Dimerization domain of Lsr2,Dimerization domain of Lsr2,Dimerization domain of Lsr2,NO_F_NAME
3134.1.1.0,a+b two layers,N-terminal domain of DC-UbP,N-terminal domain of DC-UbP,N-terminal domain of DC-UbP,NO_F_NAME
4218.1.1.0,alpha bundles,TAFH domain-like,TAFH domain-like,TAFH domain-like,NO_F_NAME
10.45.1.0,beta sandwiches,jelly-roll,PTX/LNS-Like (PLL) domain,PTX/LNS-Like (PLL) domain,NO_F_NAME
3463.1.1.0,extended segments,Holliday junction recognition protein N-terminal domain,Holliday junction recognition protein N-terminal domain,Holliday junction recognition protein N-terminal domain,NO_F_NAME
601.30.1.0,alpha bundles,Four-helical up-and-down bundle,Helical bundle domain in hypothetical protein PH1320,Helical bundle domain in hypothetical protein PH1320,NO_F_NAME
375.13.1.0,few secondary structure elements,Rubredoxin-like,Mycobacterium tuberculosis Topoisomerase I C-terminal domain,Mycobacterium tuberculosis Topoisomerase I C-terminal domain,NO_F_NAME
206.1.2.0,a+b complex topology,Protein kinase/SAICAR synthase/ATP-grasp,Protein kinase/SAICAR synthase/ATP-grasp,SAICAR synthase,NO_F_NAME
272.1.1.0,a+b two layers,TolA/TonB C-terminal domain,TolA/TonB C-terminal domain,TolA/TonB C-terminal domain,NO_F_NAME
3807.1.1.0,alpha bundles,Yersinia protein kinase A (YpkA) Rho-GTPase binding domain,Yersinia protein kinase A (YpkA) Rho-GTPase binding domain,Yersinia protein kinase A (YpkA) Rho-GTPase binding domain,NO_F_NAME
198.2.1.0,alpha arrays,Saposin-like,Bacteriocin AS-48-related,Bacteriocin AS-48-related,NO_F_NAME
3245.1.1.0,extended segments,Chaotic nuclear migration protein 67,Chaotic nuclear migration protein 67,Chaotic nuclear migration protein 67,NO_F_NAME
7033.1.1.0,a+b complex topology,Ribonuclease P protein subunit p40,Ribonuclease P protein subunit p40,Ribonuclease P protein subunit p40,NO_F_NAME
1.13.1.0,beta barrels,cradle loop barrel,Arginine N-succinyltransferase alpha chain C-terminal domain,Arginine N-succinyltransferase alpha chain C-terminal domain,NO_F_NAME
375.1.3.0,few secondary structure elements,Rubredoxin-like,Rubredoxin-related,Hypothetical protein MTH1184,NO_F_NAME
4266.2.1.0,alpha bundles,Hyaluronidase domain-like,TTHA0068-like,TTHA0068-like,NO_F_NAME
7541.1.1.0,a/b three-layered sandwiches,Molybdenum cofactor biosynthesis proteins,Molybdenum cofactor biosynthesis proteins,Molybdenum cofactor biosynthesis proteins,NO_F_NAME
604.34.1.0,alpha bundles,Spectrin repeat-like,Helical bundle domain in arginine decarboxylase,Helical bundle domain in arginine decarboxylase,NO_F_NAME
604.14.1.0,alpha bundles,Spectrin repeat-like,PPK N-terminal domain-like,PPK N-terminal domain-like,NO_F_NAME
306.6.1.0,a+b two layers,Glucose permease domain IIB-like,PH0987 N-terminal domain-like,PH0987 N-terminal domain-like,NO_F_NAME
2012.1.1.0,a/b three-layered sandwiches,LigB-like,LigB-like,LigB-like,NO_F_NAME
358.3.1.0,a+b complex topology,SRCR-like,Putative uncharacterized protein TTHA0547,Putative uncharacterized protein TTHA0547,NO_F_NAME
266.1.1.0,a+b two layers,Thymidylate synthase/dCMP hydroxymethylase,Thymidylate synthase/dCMP hydroxymethylase,Thymidylate synthase/dCMP hydroxymethylase,NO_F_NAME
592.5.1.0,alpha arrays,PWI domain-like,1-Cys type selenoprotein methionine sulfoxide reductase A helical domain,1-Cys type selenoprotein methionine sulfoxide reductase A helical domain,NO_F_NAME
1132.1.1.0,extended segments,"Mitochondrial complex I, B16.6 subunit","Mitochondrial complex I, B16.6 subunit","Mitochondrial complex I, B16.6 subunit",NO_F_NAME
9.20.1.0,beta barrels,Lipocalins/Streptavidin,Uncharacterized protein Tcur_1030,Uncharacterized protein Tcur_1030,NO_F_NAME
3601.1.1.0,alpha complex topology,Class III adenylyl cyclases regulatory domain,Class III adenylyl cyclases regulatory domain,Class III adenylyl cyclases regulatory domain,NO_F_NAME
284.3.1.0,a+b two layers,FKBP-like,Colicin E3 immunity protein,Colicin E3 immunity protein,NO_F_NAME
3816.1.1.0,beta barrels,Polymyxin B resistance protein,Polymyxin B resistance protein,Polymyxin B resistance protein,NO_F_NAME
3370.1.1.0,beta sandwiches,Lactococcin 972,Lactococcin 972,Lactococcin 972,NO_F_NAME
5068.1.1.0,alpha bundles,a domain/subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),a domain/subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),a domain/subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),NO_F_NAME
6020.1.1.0,a+b two layers,Beta domain of  DivIB/FtsQ,Beta domain of  DivIB/FtsQ,Beta domain of  DivIB/FtsQ,NO_F_NAME
330.6.1.0,a+b two layers,dsRBD-like,"2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain","2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain",NO_F_NAME
142.3.1.0,alpha complex topology,Sigma2 domain-like,Mitochondrial morphogenesis protein Sld7 C-terminal domain,Mitochondrial morphogenesis protein Sld7 C-terminal domain,NO_F_NAME
6019.1.1.0,a+b two layers,"C-terminal domain of  bypass of forespore C, BofC","C-terminal domain of  bypass of forespore C, BofC","C-terminal domain of  bypass of forespore C, BofC",NO_F_NAME
7565.1.1.0,a/b three-layered sandwiches,Resolvase-like,Resolvase-like,Resolvase-like,NO_F_NAME
3859.1.1.0,alpha arrays,uncharacterized protein BT_1490 C-terminal domain,uncharacterized protein BT_1490 C-terminal domain,uncharacterized protein BT_1490 C-terminal domain,NO_F_NAME
3326.1.1.0,alpha arrays,DNA-binding domain in UvrA,DNA-binding domain in UvrA,DNA-binding domain in UvrA,NO_F_NAME
306.2.1.0,a+b two layers,Glucose permease domain IIB-like,arginine repressor C terminal domain-related,C-terminal domain of arginine repressor,NO_F_NAME
4090.1.1.0,a+b two layers,BH3703-like,BH3703-like,BH3703-like,NO_F_NAME
601.43.1.0,alpha bundles,Four-helical up-and-down bundle,Biofilm formation modulator YmoB,Biofilm formation modulator YmoB,NO_F_NAME
4229.1.1.0,alpha bundles,"Indolic compounds 2,3-dioxygenase-like","Indolic compounds 2,3-dioxygenase-like","Indolic compounds 2,3-dioxygenase-like",NO_F_NAME
3781.2.1.0,a+b two layers,Ribosomal protein L11/L12e N-terminal domain-like,ssDNA-binding protein ThermoDBP-related,ssDNA-binding protein ThermoDBP-related,NO_F_NAME
5049.1.3.0,alpha complex topology,Ammonium transporter-related,Ammonium transporter-related,Na(+)-translocating NADH-quinone reductase subunit B,NO_F_NAME
3776.1.1.0,beta sandwiches,DNA-entry nuclease inhibitor,DNA-entry nuclease inhibitor,DNA-entry nuclease inhibitor,NO_F_NAME
304.13.1.0,a+b two layers,Alpha-beta plaits,Hypothetical protein VC0424,Hypothetical protein VC0424,NO_F_NAME
